DateTimeNow; Pressure; TempInside; TempOutside; Humidity; Time Device;Latitude Device;Longitude Device;Altitude Device;Time GCS;Latitude GCS;Longitude GCS;Altitude GCS
02.05.2020 14:32:59;936;26.392831458144;23.4328369140625;54.9855651855469;123259;47.265;8.4322;450.9;0;0;0;0
02.05.2020 14:33:07;936;26.392831458144;23.4435638427734;55.0160827636719;123307;47.2652;8.4322;450.7;0;0;0;0
02.05.2020 14:33:16;936;26.3996466015321;23.4435638427734;54.7872009277344;123315;47.2652;8.4322;449.6;0;0;0;0
02.05.2020 14:33:24;936;26.3996466015321;23.4435638427734;54.9321594238281;123322;47.2652;8.432;448.9;0;0;0;0
02.05.2020 14:33:32;936;26.3996466015321;23.4435638427734;55.1610412597656;123332;47.2652;8.4323;448.7;0;0;0;0
02.05.2020 14:33:41;936;26.3996466015321;23.4328369140625;55.1915588378906;123339;47.2652;8.4323;448.9;0;0;0;0
02.05.2020 14:33:49;935;26.3996466015321;23.4542907714844;55.0466003417969;123349;47.2652;8.4323;448.9;0;0;0;0
02.05.2020 14:33:58;936;26.4064617449202;23.4542907714844;55.1000061035156;123358;47.2652;8.4323;448.7;0;0;0;0
02.05.2020 14:34:06;936;26.4064617449202;23.4542907714844;55.1915588378906;123406;47.2652;8.4323;448;0;0;0;0
02.05.2020 14:34:15;936;26.4064617449202;23.4542907714844;54.9321594238281;123415;47.2652;8.4323;447.9;0;0;0;0
02.05.2020 14:34:23;936;26.4064617449202;23.4542907714844;55.0160827636719;123423;47.265;8.432;447.5;0;0;0;0
02.05.2020 14:34:31;936;26.4064617449202;23.4650177001953;55.0771179199219;123431;47.2652;8.4323;447.4;0;0;0;0
02.05.2020 14:34:40;936;26.4064617449202;23.4542907714844;55.0771179199219;123438;47.265;8.4323;447.5;0;0;0;0
02.05.2020 14:34:48;936;26.4064617449202;23.4542907714844;55.0466003417969;123448;47.2652;8.4323;447.6;0;0;0;0
02.05.2020 14:34:57;935;26.4064617449202;23.4542907714844;54.6956481933594;123457;47.27;8.4323;447.3;0;0;0;0
02.05.2020 14:35:05;936;26.3996466015321;23.4650177001953;54.6956481933594;123505;47.265;8.4323;447.3;0;0;0;0
02.05.2020 14:35:14;936;26.392831458144;23.4757446289062;54.8177185058594;123514;47.2651;8.4323;446.7;0;0;0;0
02.05.2020 14:35:22;936;26.4064617449202;23.4435638427734;54.9016418457031;123522;47.2651;8.4324;446.3;0;0;0;0
02.05.2020 14:35:31;936;26.4064617449202;23.4113830566406;54.6117248535156;123530;47.2651;8.4324;446;0;0;0;0
02.05.2020 14:35:39;936;26.4132768883082;23.4113830566406;54.8711242675781;123539;47.265;8.4323;445.5;0;0;0;0
02.05.2020 14:35:47;936;26.4132768883082;23.4328369140625;54.9321594238281;123547;47.265;8.4323;445.6;0;0;0;0
02.05.2020 14:35:56;936;26.4064617449202;23.4542907714844;55.0160827636719;123554;47.2651;8.43;445.6;0;0;0;0
02.05.2020 14:36:04;936;26.4064617449202;23.4542907714844;54.8406066894531;123604;47.265;8.4323;445.4;0;0;0;0
02.05.2020 14:36:13;936;26.4064617449202;23.4542907714844;54.9016418457031;123611;47.265;8.4323;444.7;0;0;0;0
02.05.2020 14:36:23;936;26.4132768883082;23.4650177001953;54.9321594238281;123623;47.265;8.4323;442.6;0;0;0;0
02.05.2020 14:36:31;936;26.4064617449202;23.4757446289062;54.9321594238281;123631;47.265;8.432;442.1;0;0;0;0
02.05.2020 14:36:39;936;26.4064617449202;23.4757446289062;55.0771179199219;123639;47.2649;8.4324;441;0;0;0;0
02.05.2020 14:36:48;936;26.4132768883082;23.4757446289062;55.1000061035156;123646;47.2649;8.4324;440;0;0;0;0
02.05.2020 14:36:56;936;26.4200920316963;23.4757446289062;55.0771179199219;123656;47.2649;8.4323;439.4;0;0;0;0
02.05.2020 14:37:05;936;26.4200920316963;23.4542907714844;54.9550476074219;123703;47.2649;8.4323;438.8;0;0;0;0
02.05.2020 14:37:13;936;26.4132768883082;23.4864715576172;55.0160827636719;123713;47.2649;8.4323;438.2;0;0;0;0
02.05.2020 14:37:22;936;26.4132768883082;23.4971984863281;55.0466003417969;123722;47.2649;8.4323;437.7;0;0;0;0
02.05.2020 14:37:30;936;26.4200920316963;23.4757446289062;55.0466003417969;123730;47.2649;8.4324;437.8;0;0;0;0
02.05.2020 14:37:39;936;26.4200920316963;23.4971984863281;55.0466003417969;123738;47.2648;8.4324;437;0;0;0;0
02.05.2020 14:37:48;936;26.4132768883082;23.5079254150391;54.9550476074219;123748;47.2648;8.4324;435.5;0;0;0;0
02.05.2020 14:37:57;936;26.4132768883082;23.5079254150391;55.0771179199219;123755;47.265;8.4324;435.6;0;0;0;0
02.05.2020 14:38:05;936;26.4200920316963;23.5079254150391;55.1000061035156;123805;47.265;8.432;436;0;0;0;0
02.05.2020 14:38:14;936;26.4269071750844;23.4971984863281;55.0466003417969;123814;47.2651;8.4323;437.4;0;0;0;0
02.05.2020 14:38:22;936;26.4064617449202;23.4864715576172;55.0160827636719;123822;47.2651;8.4323;438.1;0;0;0;0
02.05.2020 14:38:31;935;26.4132768883082;23.4864715576172;54.9321594238281;123831;47.2651;8.4323;438.5;0;0;0;0
02.05.2020 14:38:39;936;26.4132768883082;23.4757446289062;54.8711242675781;123839;47.2651;8.4323;438.4;0;0;0;0
02.05.2020 14:38:48;936;26.4132768883082;23.4542907714844;54.3523254394531;123847;47.2651;8.4323;438.3;0;0;0;0
02.05.2020 14:38:56;936;26.4132768883082;23.4221099853516;54.2378845214844;123854;47.2651;8.4323;438.3;0;0;0;0
02.05.2020 14:39:04;936;26.4200920316963;23.4435638427734;54.0090026855469;123904;47.265;8.4323;438.5;0;0;0;0
02.05.2020 14:39:13;936;26.4200920316963;23.4757446289062;54.4972839355469;123911;47.265;8.4323;439.1;0;0;0;0
02.05.2020 14:39:21;936;26.4064617449202;23.51865234375;54.5278015136719;123921;47.2651;8.4323;439.3;0;0;0;0
02.05.2020 14:39:30;936;26.4200920316963;23.5079254150391;54.2912902832031;123930;47.2651;8.4323;439.4;0;0;0;0
02.05.2020 14:39:38;936;26.4269071750844;23.5293792724609;54.6422424316406;123938;47.265;8.4323;440;0;0;0;0
02.05.2020 14:39:47;936;26.4200920316963;23.5508331298828;54.5278015136719;123946;47.2651;8.4323;440.3;0;0;0;0
02.05.2020 14:39:55;936;26.4132768883082;23.5508331298828;54.3218078613281;123955;47.2651;8.4323;441.1;0;0;0;0
02.05.2020 14:40:03;936;26.4269071750844;23.5508331298828;54.4133605957031;124003;47.2651;8.4323;441.2;0;0;0;0
02.05.2020 14:40:12;936;26.4200920316963;23.5615600585937;54.5278015136719;124010;47.265;8.4323;442.2;0;0;0;0
02.05.2020 14:40:20;936;26.4200920316963;23.5615600585937;54.3828430175781;124020;47.2651;8.4323;442.7;0;0;0;0
02.05.2020 14:40:29;936;26.4269071750844;23.5722869873047;54.5812072753906;124029;47.2651;8.4323;443;0;0;0;0
02.05.2020 14:40:37;936;26.4269071750844;23.5615600585937;54.6422424316406;124037;47.2651;8.4323;443;0;0;0;0
02.05.2020 14:40:46;936;26.4269071750844;23.5722869873047;54.5278015136719;124046;47.2651;8.43;443;0;0;0;0
02.05.2020 14:40:54;936;26.4269071750844;23.5508331298828;54.5278015136719;124054;47.2652;8.4323;443.4;0;0;0;0
02.05.2020 14:41:03;936;26.4269071750844;23.5830139160156;54.4667663574219;124102;47.2652;8.4323;444.1;0;0;0;0
02.05.2020 14:41:11;936;26.4064617449202;23.5830139160156;54.4133605957031;124109;47.2652;8.4323;445.1;0;0;0;0
02.05.2020 14:41:19;936;26.3860163147558;23.5937408447266;54.3218078613281;124119;47.2652;8.4323;446.4;0;0;0;0
02.05.2020 14:41:29;936;26.4132768883082;23.5937408447266;54.4667663574219;124129;47.2652;8.4323;446.4;0;0;0;0
02.05.2020 14:41:38;936;26.4269071750844;23.5937408447266;54.4133605957031;124138;47.2653;8.4323;447;0;0;0;0
02.05.2020 14:41:46;935;26.4269071750844;23.5830139160156;54.6117248535156;124146;47.2652;8.4323;446.8;0;0;0;0
02.05.2020 14:41:55;936;26.4337223184725;23.6259216308594;54.6117248535156;124154;47.2652;8.4323;446.3;0;0;0;0
